reaction,flux
EX_etoh_m,355.9923939
EX_h2o_m,220593.0188
EX_caro_m,0.005979072
EX_retinol_m,0.558558584
EX_thm_m,8.328478195
EX_adpcbl_m,1.22881e-05
EX_ribflv_m,0.006111107
EX_nac_m,0.445244325
EX_ncam_m,0.211750949
EX_pnto_R_m,0.085186526
EX_pydam_m,0.004669003
EX_pydxn_m,0.004669643
EX_pydx_m,0.004725954
EX_btn_m,0.00036173
EX_10fthf_m,0.000264396
EX_5mthf_m,0.000271879
EX_thf_m,0.000281098
EX_ascb_L_m,0.782052146
EX_vitd3_m,3.18352e-05
EX_avite1_m,0.054573176
EX_phyQ_m,0.000301578
EX_ca2_m,44.23174809
EX_cl_m,543.2352692
EX_k_m,101.3033815
EX_mg2_m,25.58362477
EX_na1_m,150.9506232
EX_pi_m,23.46662249
EX_cu2_m,0.04957039
EX_fe2_m,0.200734175
EX_fe3_m,0.200734175
EX_mn2(e),0.136335394
EX_zn2(e),0.261394922
EX_mnl(e),0.779483982
EX_xylt_m,0.0
EX_lcts_m,35.94427638
EX_malt_m,4.206879124
EX_sucr_m,110.5182203
EX_gal_m,10.8426091
EX_cellul(e),0.14529578
EX_ala_L_m,61.65072082
EX_arg_L_m,42.32821506
EX_asp_L_m,80.87258611
EX_cys_L_m,13.29163028
EX_glu_L_m,168.7925032
EX_gly_m,67.07363861
EX_urate_m,5.780252608
EX_his_L_m,18.55149638
EX_ile_L_m,45.97634115
EX_leu_L_m,73.5657289
EX_lys_L_m,49.72502556
EX_met_L_m,15.16359686
EX_phe_L_m,34.89104305
EX_pro_L_m,78.89334277
EX_ser_L_m,59.78051737
EX_thr_L_m,39.41362937
EX_trp_L_m,6.728111908
EX_tyr_L_m,23.68527804
EX_val_L_m,54.75068355
EX_dca_m,3.170503694
EX_ddca_m,3.503490546
EX_ttdca_m,12.65654482
EX_ttdcea_m,1.377519391
EX_ptdca_m,1.183522405
EX_hdca_m,56.41911375
EX_hpdca_m,0.886830484
EX_ocdca_m,13.64408774
EX_ocdcea_m,128.1607541
EX_lnlc_m,73.59427421
EX_lnlnca_m,7.87609621
EX_strdnc_m,0.614547697
EX_arach_m,1.876943078
EX_CE2510_m,5.347026525
EX_CE4843_m,0.130800704
EX_arachd_m,0.268570142
EX_docosac_m,2.557574808
EX_doco13ac_m,4.673543672
EX_adrn_m,0.025338442
EX_clpnd_m,0.108954216
EX_crvnc_m,3.860995608
EX_but_m,8.165474895
EX_octa_m,1.800374991
EX_chsterol_m,0.687954461
EX_sbt_D_m,8.441207695
EX_hdcea_m,5.649717068
EX_lgnc_m,0.909993994
EX_fol_m,0.000283028
EX_strch1_m,41.02641436
EX_i_m,0.003914204
EX_starch1200(e),0.379838969
EX_glc_D_m,10.0
EX_fru_m,5.0
